NP,Time,Nfile,Nwords
1,0.240117,1,6307
2,0.285009,2,12614
3,0.612118,3,18921
4,0.723265,4,25228
5,0.874506,5,31535
6,1.061277,6,37842
7,1.227703,7,44149
8,1.432790,8,50456
1,0.232053,1,6307
2,0.287399,2,12614
3,0.614976,3,18921
4,0.737053,4,25228
5,0.876292,5,31535
6,1.059999,6,37842
7,1.218477,7,44149
8,1.446692,8,50456
1,0.231109,1,6307
2,0.287589,2,12614
3,0.587394,3,18921
4,0.723736,4,25228
5,0.875869,5,31535
6,1.066649,6,37842
7,1.231079,7,44149
8,1.435866,8,50456
1,0.230816,1,6307
2,0.285078,2,12614
3,0.613046,3,18921
4,0.724090,4,25228
5,0.876483,5,31535
6,1.060644,6,37842
7,1.228679,7,44149
8,1.434196,8,50456
1,0.230974,1,6307
2,0.285309,2,12614
3,0.614224,3,18921
4,0.723001,4,25228
5,0.876624,5,31535
6,1.056675,6,37842
7,1.232246,7,44149
8,1.438575,8,50456
1,0.230494,1,6307
2,0.284949,2,12614
3,0.614681,3,18921
4,0.723423,4,25228
5,0.872915,5,31535
6,1.059548,6,37842
7,1.230841,7,44149
8,1.437348,8,50456
